,ent_num,Add_num,Address,City/State/Province/Postal Code,Country,Add_remarks
0,36,25,,Havana,Cuba,
1,173,129,"Ibex House, The Minories",London EC3N 1DY,United Kingdom,
2,306,199,Zweierstrasse 35,Zurich CH-8022,Switzerland,
3,306,200,Avenida de Concha Espina 8,Madrid E-28036,Spain,
4,306,201,"Dai-Ichi Bldg. 6th Floor, 10-2 Nihombashi, 2-chome, Chuo-ku",Tokyo 103,Japan,
5,306,202,Federico Boyd Avenue & 51 Street,Panama City,Panama,
6,424,247,42 Via Brasil,Panama City,Panama,
7,475,271,,,Spain,
8,475,272,,,Mexico,
9,480,276,,Panama City,Panama,
10,535,317,Emerson No. 148 Piso 7,"Mexico, D.F. 11570",Mexico,
11,536,318,,,Spain,
12,537,319,,,Panama,
13,540,321,,,Spain,
14,551,328,,,Panama,
15,552,329,Jose Lazaro Galdeano 6-6,Madrid 28016,Spain,
16,555,331,,Paris,France,
17,559,334,,,Spain,
18,576,346,,,Panama,
19,578,348,,Milan,Italy,
20,589,357,,Buenos Aires,Argentina,
21,590,358,,Cancun,Mexico,
22,591,359,,,Spain,
23,592,360,,,Spain,
24,593,361,,,Italy,
25,621,362,"Baja California 255, Edificio B. Oficina 103, Condesa","Mexico, D.F. 06500",Mexico,
26,622,363,,,Spain,
27,636,365,"1649 Adolfo Prieto, Colonia del Valle",Mexico City,Mexico,
28,651,376,"Case Postale 236, 10 Bis Rue Du Vieux College 12-11",Geneva,Switzerland,
29,701,408,,,Spain,
30,702,409,,,Panama,
31,735,438,32 Main Street,Georgetown,Guyana,
32,735,439,24 Rue Du Quatre Septembre,Paris,France,
33,735,440,Belas Airport,Luanda,Angola,
34,735,441,"Dobrininskaya No. 7, Sec 5",Moscow,Russia,
35,735,442,Corrientes 545 Primer Piso,Buenos Aires,Argentina,
36,735,443,Frankfurter TOR 8-A,Berlin,Germany,
37,735,444,"1 Place Ville Marie, Suite 3431",Montreal,Canada,
38,735,445,Parizska 17,Prague,Czech Republic,
39,735,446,Paseo de la Republica 126,Lima,Peru,
40,735,447,Piarco Airport,Port au Prince,Haiti,
41,735,448,"c/o Anglo-Caribbean Shipping Co. Ltd., Ibex House, The Minories",London EC3N 1DY,United Kingdom,
42,735,449,Norman Manley International Airport,Kingston,Jamaica,
43,735,450,"Melchor Ocampo 469, 5DF",Mexico City,Mexico,
44,735,451,Calle 29 y Avda Justo Arosemena,Panama City,Panama,
45,735,452,"Grantley Adams Airport, Christ Church",,Barbados,
46,735,453,,Madrid,Spain,
47,751,454,,Paris,France,
48,751,455,,Milan,Italy,
49,751,456,,Moscow,Russia,
50,751,457,,Madrid,Spain,
51,751,458,,Cologne,Germany,
52,751,459,Downsview,Ontario,Canada,
53,751,460,,Tokyo,Japan,
54,758,461,,Buenos Aires,Argentina,
55,767,465,"Devonshire House, 1 Devonshire Street",London,United Kingdom,
56,768,466,"Kawabe Building, 1-5 Kanda Nishiki-Cho, Chiyoda-Ku",Tokyo,Japan,
57,815,500,5250 Ferrier Street,"Montreal, Quebec",Canada,
58,906,44386,"4th Floor, 189 Marsh Wall",London E14 9SH,United Kingdom,
59,906,44387,"Edificio Atlantic, Oficina 4 H, Calle D No. 8 entre 1ra. y 3ra., Vedado, Plaza de la Revolucion",Havana 10400,Cuba,
60,907,572,54 Rue Richelieu,Paris,France,
61,1042,660,,,Spain,
62,1043,661,,,Panama,
63,1241,793,,,Panama,
64,1287,825,,Pyongyang,"Korea, North",
65,1287,826,,Moscow,Russia,
66,1287,827,,Barcelona,Spain,
67,1287,828,,Rostock,Germany,
68,1287,829,,Genoa,Italy,
69,1287,830,,Syczecin,Poland,
70,1287,831,,Rotterdam,Netherlands,
71,1287,832,,,Mexico,
72,1287,833,,Buenos Aires,Argentina,
73,1287,834,,Montreal,Canada,
74,1287,835,,Varna,Bulgaria,
75,1316,848,"San Martin 323, Piso 14",Buenos Aires,Argentina,
76,1555,997,Boezembolcht 23,Rotterdam,Netherlands,
77,1570,1006,,,Liechtenstein,
78,1571,1007,33 Akti Maouli,Pireas (Piraeus) 185-35,Greece,
79,1572,1008,,,Panama,
80,1641,1052,,,Panama,
81,1660,1069,,,Spain,
82,1700,1100,,,Mexico,
83,1701,1101,1010 O Rue Ste. Catherine,Montreal PQ H303 IGI,Canada,
84,1702,1102,,,Spain,
85,1888,1237,,,Panama,
86,1910,1256,,,Panama,
87,2109,1394,Edificio Saldivar,Panama City,Panama,
88,2110,1395,Lietzenburger Strasse 51,Berlin,Germany,
89,2184,1430,,,Spain,
90,2186,1431,,Cancun,Mexico,
91,2186,1432,,Guadalajara,Mexico,
92,2186,1433,,Mexico City,Mexico,
93,2186,1434,,Monterey,Mexico,
94,2186,1435,,Roma,Mexico,
95,2674,1832,,,,
96,2675,1833,,,,
97,2676,1834,,,,
98,2677,1835,,,Egypt,
99,2678,1836,,,,
100,2679,1837,,,,
101,2680,1838,,,,
102,2681,1839,,,,
103,2682,1840,,,,
104,2683,1841,,,,
105,2685,1843,,,,
106,2686,37108,,,Lebanon,
107,2690,1848,,,,
108,2691,1849,,Gaza Strip,undetermined,
109,2831,1965,57 Rue du Rhone,Geneva CH-1204,Switzerland,
110,2831,7520,,,Panama,
111,3748,1982,,"Saskatchewan, AB",Canada,
112,3749,1983,,,Cuba,
113,3750,1984,,"Saskatchewan, AB",Canada,
114,3751,1985,,,Cuba,
115,3754,1991,,,,
116,4106,2006,,Cali,Colombia,
117,4107,2007,,Cali,Colombia,
118,4108,2008,"Casa No. 19, Avenida Lago, Ciudad Jardin",Cali,Colombia,
119,4109,2009,,Cali,Colombia,
120,4149,4736,Calle 21 Norte No. 3N-84,Cali,Colombia,
121,4149,4737,c/o CAVIEDES DILEO Y CIA S.C.S.,Cali,Colombia,
122,4238,2237,,,,
123,4243,2242,,,,
124,4249,2248,,,,
125,4257,2256,,Damascus,Syria,
126,4267,2261,Calle 70N No. 14-31,Cali,Colombia,
127,4267,2262,Carrera 61 No. 11-58,Cali,Colombia,
128,4268,2263,Avenida 2N No. 7N-55 of. 501,Cali,Colombia,
129,4273,2269,c/o INMOBILIARIA U.M.V. S.A.,Cali,Colombia,
130,4273,2270,c/o INVERSIONES GEMINIS S.A.,Cali,Colombia,
131,4277,2276,Avenida 4N No. 17-43 apt. 801,Cali,Colombia,
132,4277,2277,c/o INVERSIONES Y CONSTRUCCIONES VALLE S.A.,Cali,Colombia,
133,4281,2279,c/o INVERSIONES BETANIA LTDA.,Cali,Colombia,
134,4281,2280,c/o INVERSIONES EL PENON S.A.,Cali,Colombia,
135,4291,4090,c/o AGROPECUARIA BETANIA LTDA.,Cali,Colombia,
136,4291,4091,c/o AGROPECUARIA Y REFORESTADORA HERREBE LTDA.,Cali,Colombia,
137,4291,4092,c/o CONSTRUEXITO S.A.,Cali,Colombia,
138,4291,4093,c/o INVERSIONES BETANIA LTDA.,Cali,Colombia,
139,4291,4094,c/o INVERSIONES INVERVALLE S.A.,Cali,Colombia,
140,4291,4095,c/o VALLADARES LTDA.,Cali,Colombia,
141,4291,4096,c/o SOCOVALLE,Cali,Colombia,
142,4291,4097,c/o W. HERRERA Y CIA.,Cali,Colombia,
143,4291,4098,c/o INVERSIONES GEMINIS S.A.,Cali,Colombia,
144,4291,4099,c/o INVERSIONES HERREBE LTDA.,Cali,Colombia,
145,4291,4100,c/o INVERSIONES EL GRAN CRISOL LTDA.,Cali,Colombia,
146,4292,2298,c/o CONSTRUEXITO S.A.,Cali,Colombia,
147,4292,2299,c/o INDUSTRIA AVICOLA PALMASECA S.A.,Cali,Colombia,
148,4293,2300,c/o INMOBILIARIA U.M.V. S.A.,Cali,Colombia,
149,4302,2321,Calle 7 No. 82-65,Cali,Colombia,
150,4303,2322,Calle 70N No. 14-31,Cali,Colombia,
151,4307,4066,c/o INVERSIONES EL PENON S.A.,Cali,Colombia,
152,4307,4067,c/o CONSTRUCTORA DIMISA LTDA.,Cali,Colombia,
153,4307,4068,c/o AGROPECUARIA BETANIA LTDA.,Cali,Colombia,
154,4307,4069,c/o VALLADARES LTDA.,Cali,Colombia,
155,4307,4070,c/o INVERSIONES GEMINIS S.A.,Cali,Colombia,
156,4307,4071,c/o W. HERRERA Y CIA. S. EN C.,Cali,Colombia,
157,4307,4072,Calle 18A No. 8A-20,Jamundi,Colombia,
158,4307,4073,c/o INVERSIONES EL GRAN CRISOL LTDA.,Cali,Colombia,
159,4309,2327,c/o INVERSIONES Y CONSTRUCCIONES VALLE S.A.,Cali,Colombia,
160,4319,2346,c/o INMOBILIARIA BOLIVAR LTDA.,Cali,Colombia,
161,4319,4591,c/o SERVIAUTOS UNO A 1A LIMITADA,Cali,Colombia,
162,4323,2351,c/o CONSTRUEXITO S.A.,Cali,Colombia,
163,4323,2352,c/o INDUSTRIA AVICOLA PALMASECA S.A.,Cali,Colombia,
164,4323,2353,Carrera 4C No. 53-40 apt. 307,Cali,Colombia,
165,4323,2354,c/o COMERCIAL DE NEGOCIOS CLARIDAD Y CIA.,Bogota,Colombia,
166,4323,2355,c/o INMOBILIARIA GALES LTDA.,Bogota,Colombia,
167,4323,2356,c/o COMERCIALIZADORA EXPERTA Y CIA. S. EN C.,Bogota,Colombia,
168,4324,2357,c/o INMOBILIARIA GALES LTDA.,Bogota,Colombia,
169,4324,2358,c/o INDUSTRIA AVICOLA PALMASECA S.A.,Cali,Colombia,
170,4324,2359,c/o COMERCIAL DE NEGOCIOS CLARIDAD Y CIA.,Bogota,Colombia,
171,4324,2360,c/o COMERCIALIZADORA EXPERTA Y CIA. S. EN C.,Bogota,Colombia,
172,4324,2361,c/o AGROPECUARIA Y REFORESTADORA HERREBE LTDA.,Cali,Colombia,
173,4324,2362,c/o INVERSIONES HERREBE LTDA.,Cali,Colombia,
174,4324,2363,c/o CONSTRUEXITO S.A.,Cali,Colombia,
175,4325,2364,c/o CONSTRUEXITO S.A.,Cali,Colombia,
176,4325,2365,c/o INVERSIONES HERREBE LTDA.,Cali,Colombia,
177,4325,2366,c/o AGROPECUARIA Y REFORESTADORA HERREBE LTDA.,Cali,Colombia,
178,4325,2367,c/o COMERCIALIZADORA EXPERTA Y CIA. S. EN C.,Bogota,Colombia,
179,4325,2368,c/o COMERCIAL DE NEGOCIOS CLARIDAD Y CIA.,Bogota,Colombia,
180,4325,2369,c/o INMOBILIARIA GALES LTDA.,Bogota,Colombia,
181,4325,2370,c/o INDUSTRIA AVICOLA PALMASECA S.A.,Cali,Colombia,
182,4335,2398,c/o INMOBILIARIA U.M.V. S.A.,Cali,Colombia,
183,4338,2401,Carrera 1 No. 18-52,Cali,Colombia,
184,4338,2402,c/o INVERSIONES INVERVALLE S.A.,Cali,Colombia,
185,4338,2403,c/o INVERSIONES Y CONSTRUCCIONES VALLE S.A.,Cali,Colombia,
186,4350,2419,c/o INVERSIONES BETANIA LTDA.,Cali,Colombia,
187,4350,2420,c/o INVERSIONES EL PENON S.A.,Cali,Colombia,
188,4351,2421,Avenida 6N No. 25-14,Cali,Colombia,
189,4351,2422,c/o INDUSTRIA AVICOLA PALMASECA S.A.,Cali,Colombia,
190,4352,2423,c/o SOCOVALLE LTDA.,Cali,Colombia,
191,4352,2424,c/o INVERSIONES GEMINIS S.A.,Cali,Colombia,
192,4352,2425,c/o CONSTRUCTORA DIMISA LTDA.,Cali,Colombia,
193,4352,2426,c/o INVERSIONES HERREBE LTDA.,Cali,Colombia,
194,4352,2427,c/o AGROPECUARIA Y REFORESTADORA HERREBE LTDA.,Cali,Colombia,
195,4352,2428,c/o CONCRETOS CALI S.A.,Cali,Colombia,
196,4352,2429,c/o COMERCIALIZADORA EXPERTA Y CIA. S. EN C.,Bogota,Colombia,
197,4352,2430,c/o INMOBILIARIA GALES LTDA.,Bogota,Colombia,
198,4352,2431,c/o INDUSTRIA AVICOLA PALMASECA S.A.,Cali,Colombia,
199,4352,2432,c/o COMERCIAL DE NEGOCIOS CLARIDAD Y CIA.,Bogota,Colombia,
200,4352,2433,"Avenida 1B Oeste No. 1-44 apt. 602, Medeira Building",Cali,Colombia,
201,4358,24155,,,,
202,4359,2445,Carretera Central via Aeropuerto Palmaseca,,Colombia,
203,4359,2446,Carrera 61 No. 11-58,Cali,Colombia,
204,4360,2447,Calle 17N No. 6N-28,Cali,Colombia,
205,4360,2448,Avenida 2CN No. 24N-92,Cali,Colombia,
206,4361,2449,"Carrera 83 No. 6-50, Edificio Alqueria, Torre C, of. 302",Cali,Colombia,
207,4364,2450,Avenida 2N,Cali,Colombia,
208,4367,2452,Avenida 2N No. 7N-55 of. 501,Cali,Colombia,
209,4367,2453,Carrera 25 No. 4-65,Cali,Colombia,
210,4374,2460,Avenida 2N No. 7N-55 of. 501,Cali,Colombia,
211,4380,2477,c/o INVERSIONES EL PENON S.A.,Cali,Colombia,
212,4380,2478,c/o COMERCIALIZADORA INTERNACIONAL VALLE DE ORO S.A.,Cali,Colombia,
213,4380,2479,c/o INMOBILIARIA BOLIVAR LTDA.,Cali,Colombia,
214,4380,2480,c/o ADMINISTRACION INMOBILIARIA BOLIVAR S.A.,Cali,Colombia,
215,4381,4152,c/o CONSTRUCTORA DIMISA LTDA.,Cali,Colombia,
216,4381,4153,c/o INDUSTRIA AVICOLA PALMASECA S.A.,Cali,Colombia,
217,4381,4154,c/o VALLE COMUNICACIONES LTDA.,Cali,Colombia,
218,4381,4155,c/o DISTRIBUIDORA DE ELEMENTOS PARA LA CONSTRUCCION S.A.,Cali,Colombia,
219,4382,2481,c/o INMOBILIARIA U.M.V. S.A.,Cali,Colombia,
220,4383,2482,c/o INVERSIONES INVERVALLE S.A.,Cali,Colombia,
221,4383,2483,c/o CONCRETOS CALI S.A.,Cali,Colombia,
222,4383,2484,c/o W. HERRERA Y CIA. S. EN C.,Cali,Colombia,
223,4383,2485,c/o ADMINISTRACION INMOBILIARIA BOLIVAR S.A.,Cali,Colombia,
224,4383,2486,c/o INVHERESA S.A.,Cali,Colombia,
225,4383,2487,c/o INCOVALLE,Cali,Colombia,
226,4383,2488,c/o CONSTRUEXITO S.A.,Cali,Colombia,
227,4383,2489,c/o INVERSIONES EL PENON S.A.,Cali,Colombia,
228,4383,2490,c/o INVERSIONES HERREBE LTDA.,Cali,Colombia,
229,4383,2491,c/o VIAJES MERCURIO LTDA,Cali,Colombia,
230,4383,2492,c/o INVERSIONES BETANIA LTDA.,Cali,Colombia,
231,4384,2493,c/o INVERSIONES Y CONSTRUCCIONES VALLE S.A.,Calle,Colombia,
232,4395,4163,c/o INVERSIONES GEMINIS S.A.,Cali,Colombia,
233,4395,4164,c/o CONSTRUCTORA DIMISA LTDA.,Cali,Colombia,
234,4395,4165,c/o INVERSIONES EL PENON S.A.,Cali,Colombia,
235,4395,4166,c/o COMPANIA ADMINISTRADORA DE VIVIENDA S.A.,Cali,Colombia,
236,4398,2515,c/o INMOBILIARIA U.M.V. S.A.,Cali,Colombia,
237,4398,2516,Calle 24N No. 6-17,Cali,Colombia,
238,4398,9357,Avenida 2 Norte No. 7N-55 of. 601,Cali,Colombia,
239,4400,2518,c/o INMOBILIARIA U.M.V. S.A.,Cali,Colombia,
240,4400,2519,Avenida 4AN No. 47-89,Cali,Colombia,
241,4400,2520,c/o CONSTRUCTORA DIMISA LTDA.,Cali,Colombia,
242,4400,2521,c/o INVERSIONES Y CONSTRUCCIONES VALLE S.A.,Cali,Colombia,
243,4412,2548,c/o INMOBILIARIA U.M.V. S.A.,Cali,Colombia,
244,4414,4236,c/o INVERSIONES GEMINIS S.A.,Cali,Colombia,
245,4414,4237,c/o AGROPECUARIA Y REFORESTADORA HERREBE LTDA.,Cali,Colombia,
246,4414,4238,c/o INDUSTRIA AVICOLA PALMASECA S.A.,Cali,Colombia,
247,4414,4239,c/o VIAJES MERCURIO LTDA.,Cali,Colombia,
248,4414,4240,c/o ADMINISTRACION INMOBILIARIA BOLIVAR S.A.,Cali,Colombia,
249,4414,4241,c/o CONSTRUCTORA ALTOS DEL RETIRO LTDA.,Bogota,Colombia,
250,4414,4242,c/o INMOBILIARIA BOLIVAR LTDA.,Cali,Colombia,
251,4414,4243,c/o INVERSIONES INVERVALLE S.A.,Cali,Colombia,
252,4414,4244,c/o SOCOVALLE LTDA.,Cali,Colombia,
253,4414,4245,c/o INVERSIONES HERREBE LTDA.,Cali,Colombia,
254,4414,4246,c/o CONSTRUEXITO S.A.,Cali,Colombia,
