,ent_num,alt_num,alt_type,alt_name,alt_remarks
0,36,12,aka,AERO-CARIBBEAN,
1,173,57,aka,AVIA IMPORT,
2,306,220,aka,NATIONAL BANK OF CUBA,
3,540,471,aka,COIBA,
4,552,475,aka,CRYMSA,
5,555,477,aka,COPROVA,
6,555,478,aka,COPROVA SARL,
7,559,481,aka,CIMEX,
8,651,556,aka,DELVEST HOLDING COMPANY,
9,735,583,aka,CUBANA AIRLINES,
10,751,600,aka,CARIBBEAN EXPORT ENTERPRISE,
11,758,613,aka,CUBATUR,
12,815,641,aka,GALAX INC.,
13,906,46100,aka,"HAVANA INTERNATIONAL BANK, LTD",
14,1287,888,aka,CUFLET,
15,1287,889,aka,CUBAN FREIGHT ENTERPRISE,
16,2109,1409,aka,"TROVER, S.A.",
17,2110,1410,aka,TROPICANA TOURS GMBH,
18,2674,1795,aka,"ZAYDAN, Muhammad",
19,2676,4760,aka,"AL-ZAWAHIRI, Ayman",
20,2676,4761,aka,"SALIM, Ahmad Fuad",
21,2676,4787,aka,"AL-ZAWAHIRI, Aiman Muhammad Rabi",
22,2677,1796,aka,"ZUMAR, Colonel Abbud",
23,2680,1797,aka,"HABASH, George",
24,2681,1798,aka,"HAWATMEH, Nayif",
25,2681,1799,aka,"HAWATMAH, Nayif",
26,2681,1800,aka,"KHALID, Abu",
27,2683,1823,aka,"JIBRIL, Ahmad",
28,2686,22740,aka,"NASRALLAH, Hasan Abd-al-Karim",
29,2831,1852,aka,MIDCO FINANCIAL S.A.,
30,2831,1853,aka,MONTANA MANAGEMENT INC.,
31,3749,3331,aka,GENERAL NICKEL SA,
32,3754,3341,aka,"MARZUK, Musa Abu",
33,3754,3342,aka,"ABU-MARZUQ, Dr. Musa",
34,3754,3343,aka,"MARZOOK, Mousa Mohamed Abou",
35,3754,3344,aka,"ABU-MARZUQ, Sa'id",
36,3754,5821,aka,"MARZOUK, Musa Abu",
37,4257,3414,aka,"ABDULLAH, Dr. Ramadan",
38,4257,3415,aka,"SHALLAH, Dr. Ramadan Abdullah",
39,4257,3416,aka,"SHALLAH, Ramadan Abdalla Mohamed",
40,4307,3519,fka,"CORTEZ, Oliverio Abril",
41,4307,7795,aka,"ABRIL CORTES, Oliverio",
42,4323,3520,aka,"GUZMAN TRUJILLO, Carlos Arturo",
43,4338,5696,aka,"GOMEZ BERRIO, Holmes de Jesus",
44,4359,3565,fka,INDUSTRIA AVICOLA PALMASECA S.A.,
45,4374,3437,aka,INCOVALLE,
46,4383,3441,aka,"LLENARES REYES, Jose Ricardo",
47,4414,5703,aka,"RAMIREZ CORTES, Delia Nora",
48,4444,3446,aka,SOCOVALLE LTDA.,
49,4451,5697,aka,"VALENCIA ARIAS, John Gaby",
50,4453,5698,aka,"VALENCIA, Reinel",
51,4454,3447,aka,VALLECOM,
52,4460,5699,aka,"VILLEGAS ARIAS, Maria Deicy",
53,4493,3513,aka,IMCOMER,
54,4506,3522,aka,COMERCIALIZADORA INTERNACIONAL VALLE DE ORO S.A.,
55,4512,5700,aka,"ARIZABALETA ARZAYUS, Fanor",
56,4527,5694,aka,"GARCIA, Fredy",
57,4557,7799,aka,"SERNA DE PEREZ, Maria Norbi",
58,4564,7797,aka,"MAFLA, Carlos Obeimar",
59,4564,7798,fka,"OBEYMAR MAFLA, Carlos",
60,4579,3549,fka,AGROPECUARIA LA ROBLEDA S.A.,
61,4581,3551,fka,AGROPECUARIA BETANIA LTDA.,
62,4632,3553,aka,CENTRAL BANK OF THE ISLAMIC REPUBLIC OF IRAN,
63,4632,12046,aka,BANK MARKAZI IRAN,
64,4632,12103,aka,CENTRAL BANK OF IRAN,
65,4633,12085,aka,HOUSING BANK - OF IRAN,
66,4635,3555,aka,WORKERS' WELFARE BANK - OF IRAN,
67,4635,12051,aka,BANK REFAH,
68,4639,3557,aka,AGRICULTURAL BANK OF IRAN,
69,4639,12144,aka,BANK KESHAVARZI,
70,4642,12047,fka,IRAN OVERSEAS INVESTMENT BANK PLC,
71,4642,12048,fka,IRAN OVERSEAS INVESTMENT CORPORATION LIMITED,
72,4642,12049,fka,IRAN OVERSEAS INVESTMENT BANK LIMITED,
73,4688,3869,aka,AL HARAKAT AL ISLAMIYYA,
74,4690,3883,aka,GROUPEMENT ISLAMIQUE ARME,
75,4690,3885,aka,AL-JAMA'AH AL-ISLAMIYAH AL-MUSALLAH,
76,4691,3886,aka,AUM SUPREME TRUTH,
77,4691,3887,aka,A.I.C. SOGO KENKYUSHO,
78,4691,3888,aka,A.I.C. COMPREHENSIVE RESEARCH INSTITUTE,
79,4691,4788,aka,ALEPH,
80,4693,3893,aka,BASQUE FATHERLAND AND LIBERTY,
81,4693,5397,aka,BATASUNA,
82,4693,5398,aka,EUSKAL HERRITARROK,
83,4693,5399,aka,HERRI BATASUNA,
84,4693,5913,aka,ASKATASUNA,
85,4693,5914,aka,EKIN,
86,4693,5916,aka,XAKI,
87,4693,5917,aka,JARRAI-HAIKA-SEGI,
88,4693,5960,aka,EPANASTATIKI PIRINES,
89,4693,5961,aka,POPULAR REVOLUTIONARY STRUGGLE,
90,4694,3895,aka,ISLAMIC GROUP,
91,4694,3897,aka,AL-GAMA'AT,
92,4694,3898,aka,ISLAMIC GAMA'AT,
93,4694,3899,aka,EGYPTIAN AL-GAMA'AT AL-ISLAMIYYA,
94,4695,3900,aka,ISLAMIC RESISTANCE MOVEMENT,
95,4695,3901,aka,HARAKAT AL-MUQAWAMA AL-ISLAMIYA,
96,4695,3902,aka,STUDENTS OF AYYASH,
97,4695,3903,aka,STUDENTS OF THE ENGINEER,
98,4695,3904,aka,YAHYA AYYASH UNITS,
99,4695,3905,aka,IZZ AL-DIN AL-QASSIM BRIGADES,
100,4695,3906,aka,IZZ AL-DIN AL-QASSIM FORCES,
101,4695,3907,aka,IZZ AL-DIN AL-QASSIM BATTALIONS,
102,4695,3908,aka,IZZ AL-DIN AL QASSAM BRIGADES,
103,4695,3909,aka,IZZ AL-DIN AL QASSAM FORCES,
104,4695,3910,aka,IZZ AL-DIN AL QASSAM BATTALIONS,
105,4696,4357,aka,HARAKAT UL-ANSAR,
106,4696,4755,aka,HARAKAT UL-MUJAHIDIN,
107,4696,5181,aka,AL-FARAN,
108,4696,5182,aka,AL-HADID,
109,4696,5183,aka,AL-HADITH,
110,4696,5918,aka,JAMIAT UL-ANSAR,
111,4696,26372,aka,ANSAR-UL-UMMAH,
112,4697,3915,aka,PARTY OF GOD,
113,4697,3916,aka,ISLAMIC JIHAD,
114,4697,3917,aka,ISLAMIC JIHAD ORGANIZATION,
115,4697,3918,aka,REVOLUTIONARY JUSTICE ORGANIZATION,
116,4697,3919,aka,ORGANIZATION OF THE OPPRESSED ON EARTH,
117,4697,3920,aka,ISLAMIC JIHAD FOR THE LIBERATION OF PALESTINE,
118,4697,3921,aka,ORGANIZATION OF RIGHT AGAINST WRONG,
119,4697,3922,aka,ANSAR ALLAH,
120,4697,3923,aka,FOLLOWERS OF THE PROPHET MUHAMMED,
121,4697,35541,aka,LEBANESE HIZBALLAH,
122,4697,35542,aka,LEBANESE HEZBOLLAH,
123,4697,35549,aka,HIZBALLAH ESO,
124,4697,35550,aka,HIZBALLAH INTERNATIONAL,
125,4697,35553,aka,EXTERNAL SECURITY ORGANIZATION OF HEZBOLLAH,
126,4700,3931,aka,REPRESSION OF TRAITORS,
127,4700,3932,aka,DIKUY BOGDIM,
128,4700,3933,aka,DOV,
129,4700,3934,aka,STATE OF JUDEA,
130,4700,3935,aka,COMMITTEE FOR THE SAFETY OF THE ROADS,
131,4700,3936,aka,SWORD OF DAVID,
132,4700,3937,aka,JUDEA POLICE,
133,4700,3938,aka,KAHANE LIVES,
134,4700,3939,aka,KFAR TAPUAH FUND,
135,4700,3940,aka,THE JUDEAN VOICE,
136,4700,4359,aka,FOREFRONT OF THE IDEA,
137,4700,4360,aka,THE QOMEMIYUT MOVEMENT,
138,4700,4362,aka,THE JUDEAN LEGION,
139,4700,4363,aka,THE WAY OF THE TORAH,
140,4700,4364,aka,THE YESHIVA OF THE JEWISH IDEA,
141,4700,4365,aka,KOACH,
142,4700,4789,aka,KACH,
143,4700,5919,aka,NEW KACH MOVEMENT,
144,4700,5920,aka,NEWKACH.ORG,
145,4700,5921,aka,KAHANE,
146,4700,5922,aka,YESHIVAT HARAV MEIR,
147,4700,5923,aka,THE INTERNATIONAL KAHANE MOVEMENT,
148,4700,5924,aka,KAHANE.ORG,
149,4700,5925,aka,JEWISH IDEA YESHIVA,
150,4700,5927,aka,KAHANETZADAK.COM,
151,4700,5928,aka,KAHANE TZADAK,
152,4700,5929,aka,THE HATIKVA JEWISH IDENTITY CENTER,
153,4700,5930,aka,THE RABBI MEIR DAVID KAHANE MEMORIAL FUND,
154,4700,5931,aka,THE JEWISH IDEA YESHIVA,
155,4700,5932,aka,FRIENDS OF THE JEWISH IDEA YESHIVA,
156,4700,5933,aka,JUDEAN CONGRESS,
157,4700,5934,aka,JEWISH LEGION,
158,4700,5935,aka,THE VOICE OF JUDEA,
159,4700,5936,aka,NO'AR MEIR,
160,4700,5937,aka,MEIR'S YOUTH,
161,4700,5938,aka,AMERICAN FRIENDS OF YESHIVAT RAV MEIR,
162,4700,5939,aka,AMERICAN FRIENDS OF THE UNITED YESHIVA,
163,4700,5940,aka,THE COMMITTEE AGAINST RACISM AND DISCRIMINATION,
164,4702,3943,aka,PKK,
165,4702,3944,aka,PARTIYA KARKERAN KURDISTAN,
166,4702,4790,aka,THE PEOPLE'S DEFENSE FORCE,
167,4702,4791,aka,HALU MESRU SAVUNMA KUVVETI,
168,4702,5282,aka,FREEDOM AND DEMOCRACY CONGRESS OF KURDISTAN,
169,4702,5283,aka,KADEK,
170,4702,5284,aka,KURDISTAN FREEDOM AND DEMOCRACY CONGRESS,
171,4702,6059,aka,KURDISTAN PEOPLE'S CONGRESS,
172,4702,6060,aka,PEOPLE'S CONGRESS OF KURDISTAN,
173,4702,6061,aka,KONGRA-GEL,
174,4702,11132,aka,KGK,
175,4703,3945,aka,LTTE,
176,4703,3946,aka,TAMIL TIGERS,
177,4703,3947,aka,ELLALAN FORCE,
178,4706,3961,aka,ELN,
179,4706,3962,aka,EJERCITO DE LIBERACION NACIONAL,
180,4707,3963,aka,PIJ-SHAQAQI FACTION,
181,4707,3964,aka,PIJ,
182,4707,3965,aka,ISLAMIC JIHAD IN PALESTINE,
183,4707,3966,aka,ISLAMIC JIHAD OF PALESTINE,
184,4707,3967,aka,ABU GHUNAYM SQUAD OF THE HIZBALLAH BAYT AL-MAQDIS,
185,4707,4345,aka,PIJ-SHALLAH FACTION,
186,4707,4346,aka,PALESTINIAN ISLAMIC JIHAD,
187,4707,4792,aka,AL-QUDS SQUADS,
188,4707,4793,aka,SAYARA AL-QUDS,
189,4707,4794,aka,AL-QUDS BRIGADES,
190,4707,4795,aka,AL-AWDAH BRIGADES,
191,4708,3968,aka,PALESTINE LIBERATION FRONT,
192,4708,3969,aka,PLF,
193,4708,3970,aka,PLF-ABU ABBAS,
194,4709,3971,aka,PFLP,
195,4709,3972,aka,RED EAGLES,
196,4709,3973,aka,RED EAGLE GROUP,
197,4709,3974,aka,RED EAGLE GANG,
198,4709,3975,aka,HALHUL GANG,
199,4709,3976,aka,HALHUL SQUAD,
200,4709,4796,aka,PALESTINIAN POPULAR RESISTANCE FORCES,
201,4709,4797,aka,PPRF,
202,4709,5953,aka,MARTYR ABU-ALI MUSTAFA BATTALION,
203,4710,3977,aka,PFLP-GC,
204,4711,3978,aka,FARC,
205,4711,3979,aka,FUERZAS ARMADAS REVOLUCIONARIAS DE COLOMBIA,
206,4713,3982,aka,DEVRIMCI HALK KURTULUS PARTISI-CEPHESI,
207,4713,3983,aka,DHKP/C,
208,4713,3984,aka,DEVRIMCI SOL,
209,4713,3985,aka,REVOLUTIONARY LEFT,
210,4713,3986,aka,DEV SOL,
211,4713,3987,aka,DEV SOL SILAHLI DEVRIMCI BIRLIKLERI,
212,4713,3988,aka,DEV SOL SDB,
213,4713,3989,aka,DEV SOL ARMED REVOLUTIONARY UNITS,
214,4714,3990,aka,EPANASTATIKOS LAIKOS AGONAS,
215,4714,3992,aka,REVOLUTIONARY POPULAR STRUGGLE,
216,4714,3993,aka,POPULAR REVOLUTIONARY STRUGGLE,
217,4714,4352,aka,ORGANIZATION OF REVOLUTIONARY INTERNATIONALIST SOLIDARITY,
218,4714,4353,aka,REVOLUTIONARY NUCLEI,
219,4714,4354,aka,REVOLUTIONARY CELLS,
220,4714,4355,aka,LIBERATION STRUGGLE,
221,4715,3994,aka,SENDERO LUMINOSO,
222,4715,3996,aka,PARTIDO COMUNISTA DEL PERU EN EL SENDERO LUMINOSO DE JOSE CARLOS MARIATEGUI (COMMUNIST PARTY OF PERU ON THE SHINING PATH OF JOSE CARLOS MARIATEGUI),
